id,name,category,description,price,stock,imageUrl
1,Apple iPhone 15 Pro Max,Smartphones,"A17 Pro chip, Titanium design, 48MP camera system",1199.99,45,
2,Samsung Galaxy S24 Ultra,Smartphones,"Snapdragon 8 Gen 3, S-Pen, 200MP camera",1299.99,30,
3,Google Pixel 8 Pro,Smartphones,"Tensor G3, Advanced AI photography, Super Actua display",999.99,25,
4,Apple Watch Ultra 2,Wearables,"Rugged titanium case, bright display, advanced fitness tracking",799.99,20,
5,Garmin Fenix 7X Pro,Wearables,"Multisport GPS watch with solar charging",899.99,15,
6,Samsung Galaxy Watch 6 Classic,Wearables,"Rotating bezel, advanced health monitoring",399.99,35,
7,Apple iPad Pro 12.9 (M2),Tablets,"M2 chip, Liquid Retina XDR display, Apple Pencil support",1099.99,22,
8,Samsung Galaxy Tab S9 Ultra,Tablets,"14.6-inch AMOLED display, Snapdragon 8 Gen 2",1199.99,18,
9,Sony WH-1000XM5,Headphones,"Industry-leading noise cancellation, 30-hour battery",398.00,50,
10,Bose QuietComfort Ultra,Headphones,"Immersive spatial audio, world-class ANC",429.00,40,
11,Sennheiser Momentum 4,Headphones,"Audiophile-inspired sound, 60-hour battery life",349.95,25,
12,Apple AirPods Pro (2nd Gen),Earbuds,"H2 chip, excellent noise cancellation, MagSafe charging",249.00,100,
13,Sony WF-1000XM5,Earbuds,"Premium noise-cancelling true wireless earbuds",298.00,45,
14,Sonos Era 300,Speakers,"Spatial audio smart speaker with Dolby Atmos",449.00,20,
15,JBL Charge 5,Speakers,"Portable waterproof Bluetooth speaker with powerbank",149.95,80,
16,Apple MacBook Pro 14 (M3),Laptops,"M3 chip, Liquid Retina XDR display, long battery life",1599.00,15,
17,Dell XPS 15,Laptops,"15.6-inch OLED laptop, Intel Core i7, NVIDIA RTX 4050",1499.00,20,
18,Lenovo ThinkPad X1 Carbon Gen 11,Laptops,"Premium ultralight business laptop",1699.00,12,
19,Logitech MX Master 3S,PC Accessories,"Advanced wireless mouse with quiet clicks",99.99,60,
20,Keychron Q1 Pro,PC Accessories,"Wireless custom mechanical keyboard, aluminum body",199.00,30,
21,Google Nest Hub Max,Smart Home,"Smart display with Google Assistant and security camera",229.00,25,
22,Ring Video Doorbell Pro 2,Security Cameras,"Premium wired video doorbell with 3D motion detection",249.99,40,
23,Philips Hue Starter Kit,Smart Lighting,"Color smart bulbs and Hue Bridge",199.99,50,
